;index;codigo;data_venc;retorno_venc;pu;Qtde Maxima;Qtde Compra;Valor Compra;pmp parcial;composicao individual
2;2;K23;2023-05-15;28,587197035705046;77768,24;25,0;125;9721030,0;1180,133042;125K23
7;7;K23;2023-05-15;28,587197035705046;77768,24;25,0;120;9332188,8;1132,9277203200002;120K23
12;12;K23;2023-05-15;28,587197035705046;77768,24;25,0;115;8943347,600000001;1085,7223986400002;115K23
16;16;K23;2023-05-15;28,587197035705046;77768,24;25,0;110;8554506,4;1038,51707696;110K23
20;20;K23;2023-05-15;28,587197035705046;77768,24;25,0;105;8165665,2;991,3117552800002;105K23
24;24;K23;2023-05-15;28,587197035705046;77768,24;25,0;100;7776824,000000001;944,1064336000002;100K23
29;29;K23;2023-05-15;28,587197035705046;77768,24;25,0;95;7387982,800000001;896,9011119200001;95K23
33;33;K23;2023-05-15;28,587197035705046;77768,24;25,0;90;6999141,600000001;849,6957902400001;90K23
36;36;Q24;2024-08-15;37,871873186554005;72531,11;19,0;95;6890455,45;1152,08415124;95Q24
39;39;K23;2023-05-15;28,587197035705046;77768,24;25,0;85;6610300,4;802,4904685600001;85K23
41;41;Q24;2024-08-15;37,871873186554005;72531,11;19,0;90;6527799,9;1091,44814328;90Q24
45;45;K23;2023-05-15;28,587197035705046;77768,24;25,0;80;6221459,2;755,2851468800001;80K23
46;46;Q24;2024-08-15;37,871873186554005;72531,11;19,0;85;6165144,35;1030,81213532;85Q24
50;50;K23;2023-05-15;28,587197035705046;77768,24;25,0;75;5832618,0;708,0798252;75K23
51;51;Q24;2024-08-15;37,871873186554005;72531,11;19,0;80;5802488,8;970,17612736;80Q24
55;55;K23;2023-05-15;28,587197035705046;77768,24;25,0;70;5443776,800000001;660,8745035200001;70K23
56;56;Q24;2024-08-15;37,871873186554005;72531,11;19,0;75;5439833,25;909,5401194;75Q24
61;61;Q24;2024-08-15;37,871873186554005;72531,11;19,0;70;5077177,7;848,9041114400001;70Q24
62;62;K23;2023-05-15;28,587197035705046;77768,24;25,0;65;5054935,600000001;613,6691818400001;65K23
64;64;Q26;2026-08-17;53,253651651384715;65251,3;15,0;75;4893847,5;1176,480939;75Q26
68;68;Q24;2024-08-15;37,871873186554005;72531,11;19,0;65;4714522,15;788,26810348;65Q24
69;69;K23;2023-05-15;28,587197035705046;77768,24;25,0;60;4666094,4;566,4638601600001;60K23
70;70;Q26;2026-08-17;53,253651651384715;65251,3;15,0;70;4567591,0;1098,0488764;70Q26
74;74;Q24;2024-08-15;37,871873186554005;72531,11;19,0;60;4351866,6;727,63209552;60Q24
76;76;K23;2023-05-15;28,587197035705046;77768,24;25,0;55;4277253,2;519,25853848;55K23
77;77;Q26;2026-08-17;53,253651651384715;65251,3;15,0;65;4241334,5;1019,6168138;65Q26
80;80;Q24;2024-08-15;37,871873186554005;72531,11;19,0;55;3989211,05;666,99608756;55Q24
82;82;Q26;2026-08-17;53,253651651384715;65251,3;15,0;60;3915078,0;941,1847512;60Q26
83;83;K23;2023-05-15;28,587197035705046;77768,24;25,0;50;3888412,0000000005;472,0532168000001;50K23
86;86;Q24;2024-08-15;37,871873186554005;72531,11;19,0;50;3626555,5;606,3600796;50Q24
88;88;Q26;2026-08-17;53,253651651384715;65251,3;15,0;55;3588821,5;862,7526886;55Q26
